time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,datetime_utc
1760421600,67,80,992.39,4.2,4.2,2025-10-14 06:00:00+00:00
1759856400,54,83,990.09,0.6,0.6,2025-10-07 17:00:00+00:00
1759842000,69,74,989.2,1.8,1.8,2025-10-07 13:00:00+00:00
1759838400,70,75,989.44,0.8,0.8,2025-10-07 12:00:00+00:00
1759834800,71,75,989.87,0.9,0.9,2025-10-07 11:00:00+00:00
1759827600,70,77,990.83,4.8,4.8,2025-10-07 09:00:00+00:00
1759982400,62,85,990.44,0.7,0.7,2025-10-09 04:00:00+00:00
1759996800,67,83,992.35,1.5,1.5,2025-10-09 08:00:00+00:00
1760043600,48,94,991.58,1.2,1.2,2025-10-09 21:00:00+00:00
1760119200,51,92,994.9,0.0,0.0,2025-10-10 18:00:00+00:00
1760086800,67,81,993.44,0.9,0.9,2025-10-10 09:00:00+00:00
1760137200,39,96,992.92,0.5,0.5,2025-10-10 23:00:00+00:00
1760061600,54,87,990.24,0.2,0.2,2025-10-10 02:00:00+00:00
1760058000,49,91,989.87,1.1,1.1,2025-10-10 01:00:00+00:00
1760065200,57,86,990.84,0.4,0.4,2025-10-10 03:00:00+00:00
1760104800,70,81,992.54,0.5,0.5,2025-10-10 14:00:00+00:00
1760130000,39,97,994.39,0.0,0.0,2025-10-10 21:00:00+00:00
1759896000,62,83,989.93,4.7,4.7,2025-10-08 04:00:00+00:00
1759888800,48,90,988.64,2.0,2.1,2025-10-08 02:00:00+00:00
1759964400,44,95,989.27,0.0,0.0,2025-10-08 23:00:00+00:00
1759957200,38,99,990.18,0.0,0.0,2025-10-08 21:00:00+00:00
1759935600,72,77,990.24,0.0,0.0,2025-10-08 15:00:00+00:00
1760223600,46,93,993.31,0.9,0.9,2025-10-11 23:00:00+00:00
1760151600,53,87,993.14,0.3,0.3,2025-10-11 03:00:00+00:00
1760176800,70,78,994.38,1.7,1.7,2025-10-11 10:00:00+00:00
1760180400,68,77,994.06,0.7,0.7,2025-10-11 11:00:00+00:00
1760205600,41,100,995.62,0.0,0.0,2025-10-11 18:00:00+00:00
1760256000,69,78,994.24,4.3,4.3,2025-10-12 08:00:00+00:00
1760288400,62,83,993.73,0.1,0.1,2025-10-12 17:00:00+00:00
1760241600,60,84,993.33,1.2,1.2,2025-10-12 04:00:00+00:00
1760364000,68,77,990.6,0.0,0.0,2025-10-13 14:00:00+00:00
1760389200,48,93,991.07,1.0,1.0,2025-10-13 21:00:00+00:00
1760346000,69,78,992.82,0.7,0.7,2025-10-13 09:00:00+00:00
1760338800,69,81,993.38,1.6,1.6,2025-10-13 07:00:00+00:00
1760382000,42,97,991.88,0.0,0.0,2025-10-13 19:00:00+00:00
1760371200,68,76,991.17,0.3,0.3,2025-10-13 16:00:00+00:00
1760392800,47,93,990.39,0.2,0.2,2025-10-13 22:00:00+00:00
1760328000,61,84,991.66,1.4,1.4,2025-10-13 04:00:00+00:00
1760324400,56,86,991.24,0.0,0.0,2025-10-13 03:00:00+00:00
1760385600,46,93,991.84,0.0,0.0,2025-10-13 20:00:00+00:00
1760396400,46,92,989.53,0.0,0.0,2025-10-13 23:00:00+00:00
1760425200,68,79,992.56,5.6,5.6,2025-10-14 07:00:00+00:00
1760428800,70,78,992.38,2.7,2.7,2025-10-14 08:00:00+00:00
