,MAE,RMSE,R2
linear_regression,2.92352490115786,4.082715528277433,0.04586032183981548
random_forest,2.972444743029896,4.116520136139201,0.02999448488726375
gradient_boosting,2.8963068731647046,4.0428925575154455,0.06438297701488094
epa_correction,3.5547886798790724,4.987208312436516,-0.4237335947159637
lrpa_correction,4.153266711454484,5.5521660351821644,-0.7645688378119031
